a,s(a)
-500.0,1.0
-499.0,1.0
-498.0,1.0
-497.0,1.0
-496.0,1.0
-495.0,1.0
-494.0,1.0
-493.0,1.0
-492.0,1.0
-491.0,1.0
-490.0,1.0
-489.0,1.0
-488.0,1.0
-487.0,1.0
-486.0,1.0
-485.0,1.0
-484.0,1.0
-483.0,1.0
-482.0,1.0
-481.0,1.0
-480.0,1.0
-479.0,1.0
-478.0,1.0
-477.0,1.0
-476.0,1.0
-475.0,1.0
-474.0,1.0
-473.0,1.0
-472.0,1.0
-471.0,1.0
-470.0,1.0
-469.0,1.0
-468.0,1.0
-467.0,1.0
-466.0,1.0
-465.0,1.0
-464.0,1.0
-463.0,1.0
-462.0,1.0
-461.0,1.0
-460.0,1.0
-459.0,1.0
-458.0,1.0
-457.0,1.0
-456.0,1.0
-455.0,1.0
-454.0,1.0
-453.0,1.0
-452.0,1.0
-451.0,1.0
-450.0,1.0
-449.0,1.0
-448.0,1.0
-447.0,1.0
-446.0,1.0
-445.0,1.0
-444.0,1.0
-443.0,1.0
-442.0,1.0
-441.0,1.0
-440.0,1.0
-439.0,1.0
-438.0,1.0
-437.0,1.0
-436.0,1.0
-435.0,1.0
-434.0,1.0
-433.0,1.0
-432.0,1.0
-431.0,1.0
-430.0,1.0
-429.0,1.0
-428.0,1.0
-427.0,1.0
-426.0,1.0
-425.0,1.0
-424.0,1.0
-423.0,1.0
-422.0,1.0
-421.0,1.0
-420.0,1.0
-419.0,1.0
-418.0,2.0
-417.0,2.0
-416.0,2.0
-415.0,2.0
-414.0,2.0
-413.0,2.0
-412.0,2.0
-411.0,2.0
-410.0,2.0
-409.0,2.0
-408.0,2.0
-407.0,2.0
-406.0,2.0
-405.0,2.0
-404.0,2.0
-403.0,2.0
-402.0,2.0
-401.0,2.0
-400.0,2.0
-399.0,2.0
-398.0,2.0
-397.0,2.0
-396.0,2.0
-395.0,2.0
-394.0,2.0
-393.0,2.0
-392.0,2.0
-391.0,2.0
-390.0,2.0
-389.0,2.0
-388.0,2.0
-387.0,2.0
-386.0,2.0
-385.0,2.0
-384.0,2.0
-383.0,2.0
-382.0,2.0
-381.0,2.0
-380.0,2.0
-379.0,2.0
-378.0,2.0
-377.0,2.0
-376.0,2.0
-375.0,2.0
-374.0,2.0
-373.0,2.0
-372.0,2.0
-371.0,2.0
-370.0,2.0
-369.0,2.0
-368.0,2.0
-367.0,2.0
-366.0,3.0
-365.0,3.0
-364.0,3.0
-363.0,3.0
-362.0,3.0
-361.0,3.0
-360.0,3.0
-359.0,3.0
-358.0,3.0
-357.0,3.0
-356.0,3.0
-355.0,3.0
-354.0,3.0
-353.0,3.0
-352.0,3.0
-351.0,3.0
-350.0,3.0
-349.0,3.0
-348.0,3.0
-347.0,3.0
-346.0,3.0
-345.0,3.0
-344.0,3.0
-343.0,3.0
-342.0,3.0
-341.0,3.0
-340.0,3.0
-339.0,3.0
-338.0,3.0
-337.0,3.0
-336.0,3.0
-335.0,3.0
-334.0,3.0
-333.0,3.0
-332.0,3.0
-331.0,4.0
-330.0,4.0
-329.0,4.0
-328.0,4.0
-327.0,4.0
-326.0,4.0
-325.0,4.0
-324.0,4.0
-323.0,4.0
-322.0,4.0
-321.0,4.0
-320.0,4.0
-319.0,4.0
-318.0,4.0
-317.0,4.0
-316.0,4.0
-315.0,4.0
-314.0,4.0
-313.0,4.0
-312.0,4.0
-311.0,4.0
-310.0,4.0
-309.0,4.0
-308.0,4.0
-307.0,4.0
-306.0,4.0
-305.0,5.0
-304.0,5.0
-303.0,5.0
-302.0,5.0
-301.0,5.0
-300.0,5.0
-299.0,5.0
-298.0,5.0
-297.0,5.0
-296.0,5.0
-295.0,5.0
-294.0,5.0
-293.0,5.0
-292.0,5.0
-291.0,5.0
-290.0,5.0
-289.0,5.0
-288.0,5.0
-287.0,5.0
-286.0,5.0
-285.0,5.0
-284.0,6.0
-283.0,6.0
-282.0,6.0
-281.0,6.0
-280.0,6.0
-279.0,6.0
-278.0,6.0
-277.0,6.0
-276.0,6.0
-275.0,6.0
-274.0,6.0
-273.0,6.0
-272.0,6.0
-271.0,6.0
-270.0,6.0
-269.0,6.0
-268.0,6.0
-267.0,6.0
-266.0,7.0
-265.0,7.0
-264.0,7.0
-263.0,7.0
-262.0,7.0
-261.0,7.0
-260.0,7.0
-259.0,7.0
-258.0,7.0
-257.0,7.0
-256.0,7.0
-255.0,7.0
-254.0,7.0
-253.0,7.0
-252.0,7.0
-251.0,8.0
-250.0,8.0
-249.0,8.0
-248.0,8.0
-247.0,8.0
-246.0,8.0
-245.0,8.0
-244.0,8.0
-243.0,8.0
-242.0,8.0
-241.0,8.0
-240.0,8.0
-239.0,8.0
-238.0,8.0
-237.0,9.0
-236.0,9.0
-235.0,9.0
-234.0,9.0
-233.0,9.0
-232.0,9.0
-231.0,9.0
-230.0,9.0
-229.0,9.0
-228.0,9.0
-227.0,9.0
-226.0,9.0
-225.0,10.0
-224.0,10.0
-223.0,10.0
-222.0,10.0
-221.0,10.0
-220.0,10.0
-219.0,10.0
-218.0,10.0
-217.0,10.0
-216.0,10.0
-215.0,10.0
-214.0,11.0
-213.0,11.0
-212.0,11.0
-211.0,11.0
-210.0,11.0
-209.0,11.0
-208.0,11.0
-207.0,11.0
-206.0,11.0
-205.0,11.0
-204.0,12.0
-203.0,12.0
-202.0,12.0
-201.0,12.0
-200.0,12.0
-199.0,12.0
-198.0,12.0
-197.0,12.0
-196.0,12.0
-195.0,12.0
-194.0,13.0
-193.0,13.0
-192.0,13.0
-191.0,13.0
-190.0,13.0
-189.0,13.0
-188.0,13.0
-187.0,13.0
